,timestamp,mensual_Gains Network,mensual_Rollbit Coin,mensual_USDD,mensual_Bitget Token,mensual_Kaspa,mensual_SingularityNET,mensual_Aragon,mensual_Bitcoin Avalanche Bridged (BTC.b),mensual_Rocket Pool,mensual_Render,mensual_Optimism,mensual_tomiNet
0,2022-01-31,1.2898357731631656,,,3222813277.872237,,5.84555129071518e+16,187268422039.416,,4.7930356928952186e+30,1.7477399860288663e+44,,
1,2022-02-28,0.0028693454805762725,,,1.6560469155331954e+27,,8292049709975.372,684837606.8868426,,1.0514763927438954e+29,5.94698927862647e+42,,
2,2022-03-31,6.968857249535875e-07,,,7.573757446104409e+32,,42989305063.90644,382475.8960934529,,5.95850535154758e+28,2.0132494618818085e+41,,
3,2022-04-30,0.0005522471694193281,,,1.1238530532183369e+33,,764963851353052.0,39416.87835391042,,1.6068312666822806e+30,4.508417586387737e+38,,
4,2022-05-31,1.983845000017371e-16,,,2.9324108420362783e+31,,1171284.571140536,3.402137436456593e-06,,3.769102106005229e+24,6.989496088587723e+28,,
5,2022-06-30,1.6481722569260313e-20,0.0002080789143911146,,6.8726322865090686e+28,,10.792777591895257,8.151492530552802e-09,,6.309217850222346e+16,5.3518061748209956e+20,,
6,2022-07-31,6.514067690865235e-17,2.8952090392260927e-08,1.020660711881368,5.8460484800302095e+29,,0.004355268378328713,9.469705137228665e-09,,1.29366853609693e+19,4.556055356393197e+20,,
7,2022-08-31,1.8445423283401015e-08,5.4919193748273615e-06,1.1466136499962634,6.069447022167715e+30,97883415.08676046,1.8006240411321754,1.2211119692552624e-07,,5.511580508731671e+26,9.054224878855317e+22,0.2566760841120638,
8,2022-09-30,5.064571517213203e-11,0.026640664537851473,1.1079068641193301,5.0067747563410755e+31,2.6090307055217148e+20,7.120388162564515,2.0491148091614156e-08,0.3969063708557979,6.888381400124053e+26,3.955235712079974e+19,8.571067628813844e-05,
9,2022-10-31,4.829533491081199e-05,0.21451744573079082,1.099529744371778,1.5501782944959342e+33,8827372359176.557,43.26838339298544,3.162182167084457e-09,0.2979401392547889,2.240669040562837e+25,5.143892489382902e+18,3.1269709767921074e-08,
10,2022-11-30,0.6380829437681492,0.8733798383308072,0.852213424703144,7.965462914736618e+32,7.315652190020852e+24,0.37123810319288586,1.6277439090312568e-07,0.012758945657040858,4.893222336719442e+21,6.789198942186091e+20,3.4271105429143925e-06,
11,2022-12-31,1.5332388670549555,0.058863309805458154,0.6471202477909378,5.982536897804171e+32,5.122207168388113e+26,3.409151028894827,4.00732987128379e-06,0.003944505073155897,1.7091661613917547e+23,4.965020643185627e+18,7.054323292054093e-06,
12,2023-01-31,6.6722908742570475,3824983107072335.5,0.6436156207809411,3.030580710645659e+33,3.820569838019615e+25,1423870970336.083,0.0019481157502364368,0.5367259284440714,3.7685715392722987e+28,9.838168021668356e+21,7.8898888050587495,
13,2023-02-28,1802163049.4460971,6.463975463923745e+36,0.9672344514024174,4.5758369942696596e+39,1.9250701628349805e+28,8.967400893585854e+26,0.10902466092568472,42.61747259953387,8.207108859248932e+33,8.598609158621736e+34,44125735.57749754,
14,2023-03-31,1778419139.332428,3.9135790862525015e+33,1.0054149736984992,1.7155978734109125e+42,2.8324203583114673e+38,3.780340747772959e+29,0.00016525244467092444,408.4514430657689,3.4168651644000966e+32,6.540054153062721e+31,2217767.973770544,
15,2023-04-30,162129992.62831783,1.5309228673030922e+27,0.8265647184004505,1.0891412286089283e+43,3.996129627593614e+47,8.688230037961789e+27,1.2138691476472263,31464.074052888824,3.455102433539289e+34,1.9275869548702066e+35,833346.5865690038,357.33697938545345
16,2023-05-31,21293.041991821745,4.8381229611827135e+31,1.124489526385556,1.835710819609164e+44,1.9323538938343607e+42,3.7023145602984204e+23,1.9187222377334945,7741.86065543598,9.024249337115262e+34,1.1249928164233673e+39,96.97739097786001,12533498.19315217
17,2023-06-30,33.15787657265878,2.3020887370102514e+30,1.1033786339983371,1.3170505665625739e+45,6.737687263784581e+41,2.9126480602223844e+21,64.24638559047982,8298.238259299274,1.7427005664061125e+33,4.1830871478482155e+38,0.01123112308182471,85776757759.55902
18,2023-07-31,228.37385436091066,8.045178233011596e+44,1.1212284235098726,7.14628265953918e+44,2.5977106034293464e+47,2.404327296090131e+21,3189.9213537268465,112162.13623561557,1.7873869101788977e+30,1.5199849923259133e+37,0.16354454636286145,33209330.56268518
19,2023-08-31,215.43861288565876,4.011653928499082e+52,1.067292856427189,1.7110201840016014e+44,5.8617341463256366e+51,2.7129224819997123e+19,7866.746337576935,20637.05853528088,2.1341039576012492e+27,1.0276682192115742e+35,5.114614069749569,6957.610298629113
