,timestamp,mensual_WOO Network,mensual_aelf,mensual_XRP,mensual_Stellar,mensual_Solana,mensual_Marinade staked SOL,mensual_Uniswap,mensual_Aragon,mensual_Bitcoin Avalanche Bridged (BTC.b),mensual_PAX Gold,mensual_FLOKI,mensual_Ocean Protocol,mensual_dYdX,mensual_Bone ShibaSwap,mensual_Litecoin,mensual_OKB,mensual_Bitcoin Cash,mensual_Wrapped Bitcoin
0,2022-11-30,0.019762194448522643,0.6176905971873441,0.1726199246832176,0.09445480320370857,0.00028826570859791516,0.00030156830547827684,0.14315514170255253,2.3637454532177817,0.14113028164759095,1.7794212373219809,3.7554985965367065,0.07249834145756034,3.7111318565592324,0.013800078019737793,17.574224907861147,13.496043356155909,0.8550593564821193,0.12623259431249612
1,2022-12-31,0.0009713354142835103,11.284514918831421,0.0123299184813088,0.0004741272297626121,7.62013241650281e-09,1.2561074218965085e-08,0.021330792700250414,58.19286258873641,0.04363127854750612,6.731180307318143,12.030828653691056,0.2273487675083424,0.0018176680129085633,0.09390209062498076,448.460773463532,468.0499790422258,0.2921599420040812,0.04095722064034353
2,2023-01-31,19.982703651100877,31152.502279362165,0.02714264183605271,0.0022273515402373525,0.0021419054288567556,0.0038505359063369313,0.3143233509641386,28289.76795068383,5.936876250199863,29.108898921173157,405.5304972576682,1181975.5410886437,0.011164738389881234,17056.318722108485,51376.67603530388,17202181.49979327,9.348957297831411,5.770249667612684
3,2023-02-28,46421.96137069306,43080546.96185846,0.07368502970371725,0.017784843729265278,0.9333031987405098,2.0980076438114024,5.00741070981815,1583213.0909650915,471.4038348271841,14.521246010008104,5.815833389055337e+17,3950272751260.3813,1190166.2293342813,78706001.04278088,3108222.4686500905,863670538175.5564,394.1465282812827,585.8690114630929
4,2023-03-31,1499.1643897291826,387613741278.6141,0.18844085635804642,0.008047062214544536,0.025276086554457615,0.06342670691432567,0.2556496078905465,2399.7307718785637,4517.996137668818,47.680966216100025,2.1506533720095494e+19,44513287501.06978,15454.281518669515,274011.6319390093,91437.81110610183,941154332193.8606,54.32293349113017,4423.961840635871
5,2023-04-30,2974250.419127661,574845135523.9473,86.0384363157489,0.7303552914422108,0.20597628918959196,0.6548368102560301,0.08168732523774616,17627328.614979196,348032.9607340563,176.86798512643762,2.2563379954266145e+18,72505685068.90294,103850.91340874137,166.62579727664684,847990.7808966793,1318221623343.4744,58.39611263475929,357270.15544206236
6,2023-05-31,447940.41888814734,67232066087.53593,6.184504264387566,0.016094150789254014,0.03188489428148876,0.12251021868768736,0.001689983610710342,27862926.96453461,85634.89524505813,171.53816430533942,1.2776570885195484e+18,3255556376.7297273,586.4355359105406,0.08175331750226154,163293.04177469044,1259644001735.64,5.547064017177938,87890.45752521024
7,2023-06-30,3737.452760948526,29201332884.651276,116.5058465779082,0.007272941053039251,0.00012434977006613686,0.0005284866452700202,9.941676855509868e-05,932960651.7499002,91789.1441968363,53.27368738615179,153069216999139.03,3193146338.499157,3.327296789804508,0.024772019403029817,66716.01947273154,246931951457.90436,167.94685624282764,96474.70841387643
8,2023-07-31,52061.24709925471,31661101016.47109,63887.67270150344,542.7467402886426,0.9395688661154145,4.825617291760542,0.035356360348320334,46322778750.13912,1240656.8930241195,52.004930324930626,51718316046586.17,21249077284.286358,47.839714849112916,22371.969096612786,2965540.8631757004,215791348036.70264,175220329126.2498,1275203.8383460713
9,2023-08-31,406.529158711614,52414682603.018486,138270.90167312307,10209.34633028728,1.3621210966206483,8.07406629695616,0.07639692254819595,103107324794.36768,324809.9428352667,49.736274747674955,1521571433639.209,2672230490.346714,90.13003459789891,2302843.5065348777,27799.234470680683,478319644930.8023,2814788775.5073023,336017.21412079706
